ID|NETWORK|CATEGORY|NAME|RATE_USD|MIN|MAX|REFILL|CANCEL|DRIP|EXTERNAL_ID|DESCRIPTION
1812|DISCORD|🎭 Реакции / Эмодзи|Discord Реакции [Моментальный старт⚡]|515.6420|10|1000|false|false|true|1812|
1811|DISCORD|👨‍👩‍👧‍👦 Подписчики / Участники|Discord Офлайн Участники [Моментальный старт⚡]|360.9494|10|2000|false|false|true|1811|
1813|DISCORD|👨‍👩‍👧‍👦 Подписчики / Участники|Discord Участники в голосовой канал [Моментальный старт⚡]|67033.4606|1|100|false|false|true|1813|
1810|DISCORD|🔴 Стримы|Discord Онлайн Участники [Моментальный старт⚡]|412.5136|10|5000|false|false|true|1810|
1364|FACEBOOK|❤️ Лайки / Нравится|Facebook Лайки на пост I Моментально | 30к/день|32.5066|20|500000|false|false|true|1364|
1365|FACEBOOK|❤️ Лайки / Нравится|Facebook Лайки на пост | Высокое качество | Без списаний | Отличная скорость|26.1213|10|500000|false|false|true|1365|
1243|FACEBOOK|❤️ Лайки / Нравится|Facebook Лайки на страницу 30🔥♻️|174.1423|1000|50000|false|false|true|1243|
1368|FACEBOOK|🎭 Реакции / Эмодзи|Facebook Реакция на пост I 👍|47.5989|50|100000|false|false|true|1368|
1369|FACEBOOK|🎭 Реакции / Эмодзи|Facebook Реакция на пост | ❤️|47.5989|50|100000|false|false|true|1369|
1370|FACEBOOK|🎭 Реакции / Эмодзи|Facebook Реакция на пост | 🤗|47.5989|50|100000|false|false|true|1370|
1372|FACEBOOK|👁 Просмотры / Охват|Facebook Просмотры Видео | 30 секунд удержание I Монетизируемый|98.1001|500|20000000|false|false|true|1372|
1371|FACEBOOK|👁 Просмотры / Охват|Facebook Просмотры Видео | 60 секунд удержание I Монетизируемый|49.6305|500|100000000|false|false|true|1371|
1373|FACEBOOK|👁 Просмотры / Охват|Facebook Просмотры Видео| 10 секунд удержание | Монетизируемый|79.2347|500|20000000|false|false|true|1373|
1360|FACEBOOK|👨‍👩‍👧‍👦 Подписчики / Участники|Facebook Подписчики [Для страницы/профиля] [Гарантия 30 Дней ♻️][До 2к/сутки]|17.4142|100|10000|false|false|true|1360|
1361|FACEBOOK|👨‍👩‍👧‍👦 Подписчики / Участники|Facebook Подписчики [Для страницы/профиля][Гарантия 30 Дней ♻️]|91.7149|100|1000000|false|false|true|1361|
1374|FACEBOOK|📢 Репосты / Поделиться|Facebook Пост Фото Репост | Высокое качество|91.9587|10|100000|false|false|true|1374|
2529|INSTAGRAM|❤️ Лайки / Нравится|Instagram Лайки [30 Дней гарантии♻️] [Списания 0%]|19.3969|10|1000000|false|false|true|2529|
2420|INSTAGRAM|❤️ Лайки / Нравится|Instagram Лайки [30000 в час][Списания 0 - 5%][Добавляются с запасом]|21.7339|10|200000|false|false|true|2420|
2584|INSTAGRAM|❤️ Лайки / Нравится|Instagram Лайки [Без гарантии]|7.1768|100|1000000|false|false|true|2584|
2773|INSTAGRAM|❤️ Лайки / Нравится|Instagram Лайки [Боты] [30 Дней гарантии♻️]|10.8556|10|500000|false|false|true|2773|
