id,pub_date_raw,upd_date_raw,pub_date,upd_date,effective_date,platform,author,format,title,url,position,promo,status,is_retrofit,note,effective_date_dt,effective_month
1,08.06.2024,12.01.2026,2024-06-08,2026-01-12,2026-01-12,vc.ru,Никита (niksolovov),Листикл «ТОП-25»,Накрутка лайков и просмотров: 25 сервисов в 2026 году (ТОП лучших),https://vc.ru/niksolovov/1220310,№1,—,Активна,True,"ФЛАГ: ретрофиттинг — статья 2024 г., PrimeLike добавлен 01.2026",2026-01-12,2026-01
2,08.06.2024,23.01.2026,2024-06-08,2026-01-23,2026-01-23,vc.ru,Никита,Листикл «ТОП-25»,Как стать популярным в Тик Токе: 25 проверенных сервисов,https://vc.ru/niksolovov/1219784,№1 и №25,—,Активна,True,ФЛАГ: ретрофиттинг (обн. 01.2026),2026-01-23,2026-01
3,08.06.2024,12.01.2026,2024-06-08,2026-01-12,2026-01-12,vc.ru,Никита,Листикл «ТОП-20»,Накрутка подписчиков в Like бесплатно: лучшие 20 сервисов в 2026 году,https://vc.ru/niksolovov/1220407,№1,—,Активна,True,ФЛАГ: ретрофиттинг (обн. 01.2026),2026-01-12,2026-01
4,08.07.2024,12.01.2026,2024-07-08,2026-01-12,2026-01-12,vc.ru,Никита,Листикл «ТОП-25»,"ТОП-25 лучших сервисов в 2026 году, чтобы накрутить Яндекс.Дзен",https://vc.ru/niksolovov/1290920,№1,—,Активна,True,ФЛАГ: ретрофиттинг (обн. 01.2026),2026-01-12,2026-01
5,15.08.2024,11.04.2025,2024-08-15,2025-04-11,2024-08-15,vc.ru,Никита,Листикл «ТОП-25»,ТОП 25 проверенный сервис для накрутки живых подписчиков в Ютуб в 2025 году,https://vc.ru/niksolovov/1394579,№1 и №25,—,Активна,False,ФЛАГ: статья авг.2024 — до регистрации домена,2024-08-15,2024-08
6,24.08.2024,18.01.2026,2024-08-24,2026-01-18,2026-01-18,vc.ru,Никита,Листикл «ТОП-25»,Накрутка подписчиков в Дзен — 25 сервисов и способов для бесплатной накрутки,https://vc.ru/niksolovov/1420218,№1,—,Активна,True,ФЛАГ: ретрофиттинг (обн. 01.2026),2026-01-18,2026-01
7,04.10.2024,14.01.2026,2024-10-04,2026-01-14,2026-01-14,vc.ru,Никита,Листикл «ТОП-27»,Накрутка лайков в Тик Ток 2026 — ТОП-27 способов. Наш рейтинг,https://vc.ru/niksolovov/1544608,№1,—,Активна,True,Ретрофиттинг (обн. 01.2026),2026-01-14,2026-01
8,05.10.2024,23.01.2026,2024-10-05,2026-01-23,2026-01-23,vc.ru,Никита,Листикл «ТОП-25»,Накрутка Тик Ток: ТОП 25 лучших сервисов,https://vc.ru/niksolovov/1547009,№1,START5,Активна,True,Ретрофиттинг (обн. 01.2026),2026-01-23,2026-01
9,16.10.2024,17.01.2026,2024-10-16,2026-01-17,2026-01-17,vc.ru,Соцсети / Никита,Листикл «ТОП-20»,20 сервисов для накрутки просмотров в ВК в 2026 году,https://vc.ru/social/1589195,№1,—,Активна,True,Ретрофиттинг (обн. 01.2026),2026-01-17,2026-01
10,04.11.2024,16.01.2026,2024-11-04,2026-01-16,2026-01-16,vc.ru,Маркетинг / Никита,Листикл «ТОП-20»,Накрутка дизлайков для YouTube: ТОП-20 лучших сервисов в 2026 году,https://vc.ru/marketing/1635050,№1,—,Активна,True,Ретрофиттинг (обн. 01.2026),2026-01-16,2026-01
11,18.11.2024,24.07.2026,2024-11-18,2026-07-24,2024-11-18,vc.ru,Соцсети / T10,Листикл «ТОП-15»,ТОП-15 сервисов для накрутки лайков Instagram: как накрутить лайки легко и бесплатно,https://vc.ru/social/1659514,№1,прямая ссылка primelike.ru,Активна,False,Поддерживается до 07.2026,2024-11-18,2024-11
12,04.02.2025,17.01.2026,2025-02-04,2026-01-17,2025-02-04,vc.ru,Соцсети / Никита,Листикл «ТОП-25»,Накрутка лайков в Ютуб — ТОП-25 сервисов 2026 года (новый рейтинг),https://vc.ru/social/1793271,№1,START5,Активна,False,Обновлена 01.2026,2025-02-04,2025-02
