
Image Name                     PID Session Name        Session#    Mem Usage
========================= ======== ================ =========== ============
System Idle Process              0 Services                   0          8 K
System                           4 Services                   0      1 696 K
Secure System                   88 Services                   0     39 960 K
Registry                       156 Services                   0     38 056 K
smss.exe                       524 Services                   0        100 K
csrss.exe                      828 Services                   0      2 124 K
wininit.exe                    944 Services                   0        448 K
services.exe                   884 Services                   0      7 268 K
LsaIso.exe                     892 Services                   0        728 K
lsass.exe                      112 Services                   0     18 152 K
svchost.exe                   1152 Services                   0     17 688 K
fontdrvhost.exe               1184 Services                   0        716 K
WUDFHost.exe                  1220 Services                   0        752 K
svchost.exe                   1336 Services                   0     17 656 K
svchost.exe                   1404 Services                   0      4 024 K
svchost.exe                   1600 Services                   0      2 428 K
svchost.exe                   1608 Services                   0      1 808 K
svchost.exe                   1620 Services                   0      5 976 K
svchost.exe                   1676 Services                   0        976 K
svchost.exe                   1788 Services                   0      3 824 K
svchost.exe                   1800 Services                   0      2 852 K
svchost.exe                   1880 Services                   0     12 428 K
svchost.exe                   1992 Services                   0      2 776 K
svchost.exe                   2024 Services                   0      1 832 K
svchost.exe                    860 Services                   0      2 144 K
svchost.exe                   2064 Services                   0      1 468 K
svchost.exe                   2084 Services                   0      1 812 K
svchost.exe                   2144 Services                   0      4 940 K
svchost.exe                   2284 Services                   0      3 548 K
svchost.exe                   2296 Services                   0      1 736 K
svchost.exe                   2420 Services                   0      8 700 K
svchost.exe                   2524 Services                   0      3 340 K
svchost.exe                   2636 Services                   0      6 920 K
svchost.exe                   2708 Services                   0      2 156 K
svchost.exe                   2716 Services                   0      5 652 K
svchost.exe                   2724 Services                   0     15 852 K
svchost.exe                   2828 Services                   0      7 984 K
vmms.exe                      2908 Services                   0      6 408 K
svchost.exe                   3000 Services                   0      5 996 K
amdfendrsr.exe                2344 Services                   0        996 K
atiesrxx.exe                  2604 Services                   0      1 108 K
svchost.exe                   3108 Services                   0     14 272 K
svchost.exe                   3116 Services                   0      5 344 K
svchost.exe                   3220 Services                   0      5 048 K
svchost.exe                   3244 Services                   0      4 128 K
svchost.exe                   3336 Services                   0      2 168 K
WUDFHost.exe                  3404 Services                   0      1 348 K
svchost.exe                   3432 Services                   0      7 148 K
svchost.exe                   3492 Services                   0      1 660 K
svchost.exe                   3540 Services                   0      6 652 K
vmcompute.exe                 3684 Services                   0      5 324 K
svchost.exe                   3728 Services                   0      1 780 K
svchost.exe                   3816 Services                   0        948 K
dasHost.exe                   4052 Services                   0      4 796 K
svchost.exe                   3300 Services                   0      1 276 K
svchost.exe                   3560 Services                   0      1 328 K
svchost.exe                   4144 Services                   0      3 188 K
svchost.exe                   4156 Services                   0      1 452 K
svchost.exe                   4392 Services                   0      8 456 K
svchost.exe                   4420 Services                   0      4 024 K
svchost.exe                   4568 Services                   0      4 468 K
svchost.exe                   4576 Services                   0      2 760 K
svchost.exe                   4624 Services                   0      5 388 K
svchost.exe                   4744 Services                   0      2 608 K
svchost.exe                   4788 Services                   0      3 544 K
AmneziaVPN-service.exe        4972 Services                   0      2 268 K
clash-verge-service.exe       4984 Services                   0      2 268 K
svchost.exe                   4996 Services                   0     10 048 K
Everything.exe                5008 Services                   0      1 656 K
svchost.exe                   5020 Services                   0     17 708 K
EvtEng.exe                    5036 Services                   0      9 768 K
hkosdsvis.exe                 2620 Services                   0        832 K
AgentService.exe              4216 Services                   0      1 740 K
SchedulerService.exe          5124 Services                   0      1 420 K
RtkAudUService64.exe          5156 Services                   0      2 356 K
svchost.exe                   5164 Services                   0      1 196 K
svchost.exe                   5172 Services                   0      9 028 K
MpDefenderCoreService.exe     5204 Services                   0      6 184 K
RegSrvc.exe                   5220 Services                   0      2 004 K
ss_conn_service2.exe          5248 Services                   0        956 K
ss_conn_service.exe           5264 Services                   0      1 336 K
svchost.exe                   5272 Services                   0      8 208 K
MsMpEng.exe                   5336 Services                   0    352 776 K
svchost.exe                   5344 Services                   0      3 604 K
svchost.exe                   5376 Services                   0      7 280 K
SearchIndexer.exe             5424 Services                   0     30 884 K
service_update.exe            5440 Services                   0      7 740 K
